t,x
0.0,1.12
0.01,1.1194648420021238
0.02,1.1188912272913452
0.03,1.1183181859049907
0.04,1.117745717266052
0.05,1.1171738208055497
0.06,1.1166024959546172
0.07,1.116031742144389
0.08,1.1154615588059986
0.09,1.11489194537058
0.1,1.114322901262679
0.11,1.1137544257306096
0.12,1.1131865181387643
0.13,1.1126191779400014
0.14,1.1120524045871787
0.15,1.111486197533154
0.16,1.1109205562307856
0.17,1.1103554801329314
0.18,1.1097909686924492
0.19,1.109227021362197
0.2,1.1086636375950334
0.21,1.1081008168438156
0.22,1.107538558561402
0.23,1.1069768622006504
0.24,1.106415727214419
0.25,1.1058551530555656
0.26,1.1052951391769485
0.27,1.1047356850314252
0.28,1.1041767900718542
0.29,1.1036184537510931
0.3,1.103060675522
0.31,1.102503454837433
0.32,1.1019467911502503
0.33,1.1013906839133092
0.34,1.1008351325794683
0.35000000000000003,1.1002801366015855
0.36,1.0997256954325185
0.37,1.0991718085251256
0.38,1.0986184753322648
0.39,1.0980656953067938
0.4,1.0975134679015708
0.41000000000000003,1.0969617925694537
0.42,1.0964106687633006
0.43,1.0958600959359694
0.44,1.0953100735403183
0.45,1.094760601029205
0.46,1.0942116778554876
0.47000000000000003,1.093663303472024
0.48,1.0931154773316725
0.49,1.0925681983743327
0.5,1.092021465564985
0.51,1.0914752783944197
0.52,1.090929636353428
0.53,1.0903845389328002
0.54,1.089839985623327
0.55,1.089295975915799
0.56,1.088752509301007
0.5700000000000001,1.0882095852697418
0.58,1.0876672033127939
0.59,1.0871253629209539
0.6,1.0865840635850124
0.61,1.08604330479576
0.62,1.0855030860439878
0.63,1.0849634068204863
0.64,1.0844242666160457
0.65,1.0838856649214574
0.66,1.0833476012275114
0.67,1.082810075024999
0.68,1.08227308580471
0.6900000000000001,1.0817366330574358
0.7000000000000001,1.081200716273967
0.71,1.0806653349450939
0.72,1.0801304885616074
0.73,1.079596176614298
0.74,1.0790623985939567
0.75,1.0785291539913737
0.76,1.07799644229734
0.77,1.077464263002646
0.78,1.076932615598083
0.79,1.0764014995744406
0.8,1.0758709144225105
0.81,1.0753408596330827
0.8200000000000001,1.0748113346969481
0.8300000000000001,1.0742823391048972
0.84,1.073753872347721
0.85,1.0732259339162098
0.86,1.0726985233011543
0.87,1.0721716399933456
0.88,1.071645283483574
0.89,1.0711194532626298
0.9,1.0705941488213044
0.91,1.070069369650388
0.92,1.0695451152406714
0.93,1.0690213850829453
0.9400000000000001,1.0684981786680003
0.9500000000000001,1.0679754954866272
0.96,1.0674533350296163
0.97,1.0669316967877587
0.98,1.0664105802518447
0.99,1.065889984912665
1.0,1.0653699102610106
1.01,1.0648503557876718
1.02,1.0643313209834395
1.03,1.0638128053391043
1.04,1.0632948083454568
1.05,1.0627773294932874
1.06,1.0622603682733873
1.07,1.061743924176547
1.08,1.061227996693557
1.09,1.060712585315208
1.1,1.0601976895322907
1.11,1.0596833088355957
1.12,1.0591694427159137
1.1300000000000001,1.0586560906640354
1.1400000000000001,1.0581432521707514
1.1500000000000001,1.0576309267268524
1.16,1.0571191138231293
1.17,1.0566078129503722
1.18,1.0560970235993723
1.19,1.0555867444940803
1.2,1.055076974302579
1.21,1.0545677125557822
1.22,1.0540589587851534
1.23,1.0535507125221562
1.24,1.0530429732982536
1.25,1.0525357406449092
1.26,1.0520290140935862
1.27,1.051522793175748
1.28,1.051017077422858
1.29,1.0505118663663793
1.3,1.0500071595377753
1.31,1.0495029564685097
1.32,1.0489992566900455
1.33,1.0484960597338462
1.34,1.0479933651313749
1.35,1.0474911724140952
1.36,1.0469894811134703
1.37,1.0464882907609636
1.3800000000000001,1.0459876008880387
1.3900000000000001,1.0454874110261583
1.4000000000000001,1.0449877207067864
1.41,1.044488529461386
1.42,1.0439898368214204
1.43,1.0434916423183531
1.44,1.0429939454836474
1.45,1.0424967458487666
1.46,1.0420000429451741
1.47,1.0415038363043334
1.48,1.0410081254577075
1.49,1.0405129099367598
1.5,1.0400181892729539
1.51,1.0395239629977528
1.52,1.0390302306426202
1.53,1.0385369917390193
1.54,1.0380442458184134
1.55,1.0375519924122658
1.56,1.03706023105204
1.57,1.036568961269199
1.58,1.0360781825952066
1.59,1.035587894561526
1.6,1.0350980966996202
1.61,1.034608788540953
1.62,1.0341199696169876
1.6300000000000001,1.0336316394591871
1.6400000000000001,1.0331437975990152
1.6500000000000001,1.032656443567935
1.6600000000000001,1.03216957689741
1.67,1.0316831971189033
1.68,1.0311973037638784
1.69,1.030711896363799
1.7,1.0302269744501278
1.71,1.0297425375543283
1.72,1.0292585852078642
1.73,1.0287751169421986
1.74,1.0282921322887948
1.75,1.0278096307791162
1.76,1.0273276119446262
1.77,1.026846075316788
1.78,1.0263650204270651
1.79,1.0258844468069208
1.8,1.0254043539878184
1.81,1.0249247415012213
1.82,1.0244456088785927
1.83,1.0239669556513962
1.84,1.0234887813510947
1.85,1.023011085509152
1.86,1.0225338676570312
1.87,1.0220571273261958
1.8800000000000001,1.021580864048109
1.8900000000000001,1.0211050773542343
1.9000000000000001,1.0206297667760347
1.9100000000000001,1.0201549318449739
1.92,1.0196805720925153
1.93,1.0192066870501217
1.94,1.0187332762492571
1.95,1.0182603392213845
1.96,1.0177878754979672
